"physician","treatment","certificationdate","certificationexpires"
3,1,"2008-01-01 00:00:00","2008-12-31 00:00:00"
3,2,"2008-01-01 00:00:00","2008-12-31 00:00:00"
3,5,"2008-01-01 00:00:00","2008-12-31 00:00:00"
3,6,"2008-01-01 00:00:00","2008-12-31 00:00:00"
3,7,"2008-01-01 00:00:00","2008-12-31 00:00:00"
6,2,"2008-01-01 00:00:00","2008-12-31 00:00:00"
6,5,"2007-01-01 00:00:00","2007-12-31 00:00:00"
6,6,"2008-01-01 00:00:00","2008-12-31 00:00:00"
7,1,"2008-01-01 00:00:00","2008-12-31 00:00:00"
7,2,"2008-01-01 00:00:00","2008-12-31 00:00:00"
7,3,"2008-01-01 00:00:00","2008-12-31 00:00:00"
7,4,"2008-01-01 00:00:00","2008-12-31 00:00:00"
7,5,"2008-01-01 00:00:00","2008-12-31 00:00:00"
7,6,"2008-01-01 00:00:00","2008-12-31 00:00:00"
7,7,"2008-01-01 00:00:00","2008-12-31 00:00:00"
